sensor1,sensor2,sensor3,kneesensor
5,12,378,663
5,11,380,654
5,11,369,648
5,11,364,647
6,12,362,647
6,12,365,643
6,12,363,641
5,11,359,627
6,12,352,615
5,11,346,610
5,11,336,599
5,11,331,595
5,10,327,588
5,10,323,588
4,10,325,584
5,11,324,577
5,11,325,571
6,11,321,566
6,11,312,558
9,14,310,554
9,14,310,548
10,15,304,541
10,15,302,538
10,14,299,541
9,14,305,549
10,15,307,560
10,15,313,579
7,13,311,604
7,12,311,632
6,12,311,653
6,12,313,654
7,12,314,657
6,12,315,658
6,12,319,658
5,11,314,659
6,11,315,660
5,11,319,669
5,11,316,672
5,11,317,674
5,11,317,673
6,11,318,670
6,12,319,670
6,12,315,676
7,12,322,686
6,11,326,704
6,12,331,699
5,11,329,699
5,11,333,699
6,11,331,696
10,16,331,711
10,16,336,719
10,16,357,725
10,16,353,714
9,15,342,707
10,16,357,717
8,8,0,691
9,9,0,633
18,18,0,615
16,22,443,613
8,13,364,623
9,14,369,648
9,15,327,642
12,18,340,565
9,15,327,570
9,15,355,678
9,16,382,757
10,16,377,764
5,4,0,710
5,5,0,680
8,9,32,675
12,22,836,671
9,21,1012,650
17,36,685,594
10,21,595,539
8,18,564,550
7,17,541,655
6,16,543,741
6,16,542,776
6,6,0,729
3,3,0,673
4,4,0,670
7,7,0,676
7,15,658,687
5,17,1023,662
11,24,753,611
9,21,665,524
8,19,594,542
8,19,600,680
7,18,591,772
0,5,54,757
3,3,0,695
4,4,0,675
6,5,0,681
4,10,402,671
2,15,1023,669
11,26,862,634
9,21,644,541
7,18,603,541
7,18,630,642
7,18,621,753
6,17,593,777
4,4,0,712
2,1,0,694
3,3,0,667
2,6,228,674
1,15,1023,694
5,21,926,671
8,18,596,581
6,17,550,545
7,17,585,618
6,17,583,765
6,16,555,809
7,7,0,715
3,3,0,710
6,6,0,703
2,3,104,698
1,14,1023,687
7,25,880,652
13,24,636,550
10,21,577,548
10,22,631,649
9,21,625,785
6,7,56,797
4,4,0,747
5,5,0,746
3,3,0,743
9,23,844,737
7,24,1023,720
9,27,1023,667
10,19,527,553
8,17,496,537
8,18,563,634
8,19,584,779
5,4,0,773
3,3,0,689
3,3,0,690
3,3,0,695
7,16,692,698
4,14,791,691
14,26,594,614
13,27,825,536
11,25,762,561
11,24,778,683
10,23,720,783
8,8,0,741
6,6,0,676
6,6,0,669
7,6,0,680
7,20,830,680
5,20,1023,680
12,30,1009,644
7,16,532,504
7,16,508,516
7,18,580,619
7,17,580,749
4,7,186,775
4,4,0,720
4,4,0,698
4,4,0,694
2,3,42,703
2,15,1023,708
0,9,788,675
14,24,550,590
8,20,663,534
7,18,622,593
8,19,651,699
7,18,591,729
4,4,13,726
3,3,0,663
3,3,0,621
4,3,0,597
4,4,0,589
3,3,0,589
6,17,689,611
8,24,1023,656
8,23,1008,676
9,23,805,632
7,13,411,615
7,15,482,698
7,16,518,780
7,16,516,813
6,11,325,808
5,5,0,762
3,3,0,703
3,3,0,682
3,3,0,661
5,19,819,649
7,24,1023,659
10,27,1023,648
9,22,763,597
8,19,683,574
8,19,654,609
8,18,636,691
8,19,624,745
8,18,603,757
6,6,0,690
4,5,0,628
6,6,0,640
3,3,0,651
0,13,1023,664
0,13,993,662
11,24,743,594
9,20,655,526
8,18,604,560
8,18,603,676
7,18,597,740
5,5,0,702
2,2,0,656
1,1,0,672
1,1,0,686
2,2,0,686
3,11,488,695
0,13,1023,676
12,28,869,617
8,18,582,521
6,15,527,532
7,17,574,649
7,17,547,775
4,5,40,749
1,1,0,689
2,2,0,682
3,3,0,686
2,12,620,678
2,18,1023,691
13,32,911,645
8,15,425,527
5,13,477,497
5,15,554,592
6,16,565,752
4,5,79,753
2,2,0,677
2,1,0,671
3,3,0,667
10,11,56,657
7,16,744,653
16,30,559,593
12,24,667,512
10,21,590,544
10,20,607,666
9,20,589,753
9,19,570,752
5,4,0,696
5,5,0,662
8,18,716,669
6,16,710,670
7,18,803,666
7,18,855,660
8,19,808,658
8,19,786,660
8,19,740,661
8,18,691,666
6,16,644,667
6,15,602,666
5,15,612,666
6,15,570,670
5,14,528,673
5,13,494,680
5,12,470,682
4,11,444,682
4,10,413,679
4,10,395,675
5,10,384,674
5,11,370,682
6,12,363,684
6,12,347,683
6,11,342,686
6,11,333,687
6,10,326,677
5,10,306,648
5,10,313,654
4,9,316,635
5,9,302,603
5,9,287,583
4,8,279,563
5,9,291,540
5,9,299,519
5,9,290,502
6,9,245,491
5,7,159,491
5,10,376,522
5,12,421,607
5,11,403,683
5,11,401,715
5,12,386,738
4,4,0,759
4,4,0,701
3,3,0,707
4,4,0,682
4,4,0,677
5,6,0,678
9,9,15,683
6,6,27,681
10,12,101,635
10,12,164,571
8,11,165,591
9,13,246,705
9,14,285,790
13,21,518,764
9,9,0,707
7,7,0,685
7,7,0,681
9,9,61,673
7,17,27,674
8,21,30,649
13,90,140,551
13,104,195,553
12,16,248,630
12,16,285,752
12,12,39,760
11,11,0,698
9,9,0,693
10,10,0,688
10,10,0,690
15,32,997,706
13,28,854,682
16,26,581,588
14,96,478,544
15,112,534,613
13,111,551,752
13,13,0,756
12,12,0,672
11,11,0,705
11,11,23,727
10,23,926,725
9,24,982,689
14,28,775,555
13,25,716,506
12,24,672,603
11,23,647,749
7,6,0,740
6,6,0,678
7,7,0,697
8,8,24,697
10,26,952,704
5,23,980,702
15,26,637,631
10,21,605,522
9,19,589,545
10,21,611,678
9,19,582,767
10,10,0,686
5,5,0,674
7,6,0,676
11,22,675,684
10,26,1023,698
12,26,718,647
11,19,508,543
6,15,477,525
6,15,542,643
5,15,535,779
8,8,0,716
4,3,0,675
4,4,0,679
3,3,0,699
3,13,766,709
0,12,774,676
9,21,663,535
8,18,603,495
9,19,609,574
9,19,599,736
7,17,567,780
6,5,0,692
6,6,2,699
5,5,0,715
6,7,106,714
6,19,1023,729
22,52,785,652
14,23,508,524
11,18,429,520
11,19,501,643
10,18,500,779
10,10,0,729
7,7,0,666
5,5,0,672
6,16,696,683
7,19,871,683
12,29,988,661
13,26,741,574
7,15,492,518
6,15,530,585
6,15,523,752
4,6,186,801
5,6,83,707
6,7,40,701
6,6,0,707
4,7,267,714
2,14,820,717
15,31,675,638
7,16,514,506
7,14,455,528
7,17,550,675
7,16,528,777
9,9,0,726
5,5,8,679
6,6,0,682
6,7,37,696
5,17,844,696
4,17,1001,680
20,37,884,591
14,22,469,533
13,21,451,608
13,23,530,749
13,22,533,798
15,15,0,748
11,11,0,727
10,9,0,722
8,8,0,722
3,4,15,715
5,8,219,688
9,11,180,594
7,10,199,523
7,11,229,635
7,12,267,747
8,13,296,771
8,8,0,714
6,7,0,695
6,6,0,701
6,6,16,703
6,14,537,701
10,25,885,677
10,20,587,570
7,15,451,538
7,15,514,627
7,16,511,749
7,15,493,765
7,7,0,712
5,4,0,697
5,5,0,696
5,5,0,687
5,14,713,689
4,15,815,666
9,20,657,577
7,15,467,528
6,14,517,612
6,15,510,747
6,14,495,779
5,5,0,712
7,7,0,690
3,11,503,694
5,12,515,698
7,19,868,690
12,23,780,609
9,20,711,577
8,18,618,565
9,17,572,552
7,11,292,550
9,15,351,560
7,12,370,567
10,15,375,592
7,13,387,615
10,17,410,641
7,14,425,676
10,16,391,709
8,14,395,725
8,15,405,729
10,16,405,744
9,15,428,753
8,7,0,765
7,7,0,733
5,5,0,730
6,6,0,723
7,7,0,713
4,5,14,699
5,7,190,702
7,12,379,698
7,14,564,700
8,19,757,703
9,21,806,694
8,18,704,698
8,17,693,704
9,18,646,702
7,15,532,700
6,10,326,699
8,12,315,694
6,10,288,694
7,11,276,695
5,9,265,694
7,10,248,691
8,11,234,696
5,8,233,693
5,4,0,674
4,3,0,658
4,4,0,658
4,4,0,664
4,3,0,673
4,4,0,675
6,6,0,670
5,4,0,668
5,4,0,666
6,6,0,669
7,7,0,674
6,6,0,678
5,5,0,683
5,5,0,680
6,6,0,689
6,6,0,680
4,4,0,697
5,5,0,695
5,5,0,694
7,7,0,699
12,12,0,698
20,23,309,664
15,19,297,592
14,17,260,547
14,17,266,588
12,15,275,681
12,15,282,752
14,14,0,725
11,11,0,676
10,9,0,670
10,10,0,678
12,12,0,666
8,15,612,650
10,16,388,611
13,21,504,524
11,19,452,507
10,18,465,600
10,18,431,706
10,18,434,747
8,8,0,670
8,8,0,648
9,10,0,649
7,7,0,642
7,21,983,647
11,23,763,634
13,19,414,572
12,18,363,587
12,18,363,684
12,18,430,777
11,11,35,765
7,7,0,691
9,9,0,699
10,10,0,684
13,27,782,685
12,27,838,682
14,26,693,646
16,26,574,563
16,25,548,571
15,25,556,664
15,24,530,784
15,23,521,753
11,11,0,699
10,9,0,701
11,11,0,693
13,12,0,686
8,8,25,698
10,10,61,654
10,13,164,553
10,16,378,530
9,16,426,629
9,17,434,761
7,13,407,766
9,8,0,693
6,6,0,697
6,6,0,694
9,9,0,688
11,22,713,692
7,18,659,653
10,19,533,569
7,13,356,533
7,14,422,603
8,15,430,754
7,6,3,768
7,6,0,678
7,7,0,689
8,8,0,694
6,6,40,685
1,13,808,693
18,36,690,631
8,16,447,531
7,14,413,541
7,14,434,671
6,13,433,789
6,10,288,738
5,5,0,687
5,5,0,694
5,5,0,713
5,13,607,727
1,11,652,700
14,22,513,592
9,16,453,521
7,15,470,580
7,16,495,740
7,15,471,789
7,7,0,697
4,4,0,696
5,5,0,689
6,6,0,701
